db,sseqid,name,copy_number,copy_class,domain,host_range,note,reference
snapgene,ori,ori,~31 (ColE1/pBR322); pUC derivatives several-fold higher,medium to high,bacterial,narrow (enterobacteria),ColE1/pMB1-type origin; a Rop-suppressible point mutation in RNA II raises the pUC copy number over pBR322,PMID 29371642; PMID 1283002
snapgene,p15A_ori,p15A ori,~20,medium,bacterial,narrow (enterobacteria),compatible with ColE1-type origins in the same cell,PMID 29371642; PMID 149110
snapgene,pSC101_ori,pSC101 ori,~5,low,bacterial,narrow (enterobacteria),requires the Rep101/RepA protein,PMID 29371642
snapgene,R6K_gamma_ori;R6K_gamma_ori_(2),R6K γ ori,~15 (pir+ host); ~250 (pir-116 host),medium,bacterial,narrow (pir+ enterobacteria),replicates only in a host supplying the pi initiator protein,PMID 8125283
snapgene,CloDF13_ori,CloDF13 ori,,medium,bacterial,narrow (enterobacteria),CDF compatibility group; supplied as a medium-copy Duet backbone,
snapgene,ColA_ori,ColA ori,,medium,bacterial,narrow (enterobacteria),ColA compatibility group; supplied as a medium-copy Duet backbone,
snapgene,RSF_ori,RSF ori,,high,bacterial,narrow (enterobacteria),RSF1030 origin; supplied as a high-copy Duet backbone,
snapgene,RSF1010_oriV,RSF1010 oriV,,high,bacterial,broad (Gram-negative bacteria),broad-host-range IncQ; requires the RSF1010 RepA/B/C proteins,PMID 19465049
snapgene,pBBR1_oriV,pBBR1 oriV,,medium to high,bacterial,broad (Gram-negative bacteria),broad-host-range; requires the pBBR1 Rep protein; reported as relatively high copy in E. coli and B. pertussis,PMID 1321324
snapgene,pRO1600_oriV,pRO1600 oriV,,unreported,bacterial,broad (Gram-negative bacteria),Pseudomonas broad-host-range; requires the pRO1600 Rep protein,
snapgene,pVS1_oriV,pVS1 oriV,,unreported,bacterial,broad (Gram-negative bacteria),Pseudomonas and Agrobacterium broad-host-range binary vectors,
snapgene,pSa_ori,pSa ori,,unreported,bacterial,broad (Gram-negative bacteria),Agrobacterium binary vectors,
snapgene,oriV;oriV_(2);oriV_(4),oriV,,low,bacterial,broad (Gram-negative bacteria),incP (RK2/RP4) origin; requires the TrfA initiator in trans; SnapGene shares the name oriV with the unrelated F plasmid origin,
snapgene,oriV_(3),oriV,1-2,very low,bacterial,narrow (enterobacteria),F plasmid origin; single-copy and partitioned by the sop system; SnapGene shares the name oriV with the unrelated incP origin,
snapgene,ori2,ori2,1-2,very low,bacterial,narrow (enterobacteria),secondary F plasmid origin; also known as oriS,
snapgene,N15_ori,N15 ori,,low,bacterial,narrow (enterobacteria),bidirectional origin of the linear coliphage N15 prophage; a low-copy replicon partitioned by an F sop homologue,PMID 14617191
snapgene,f1_ori;f1_ori_(2);f1_ori_(3);f1_ori_(4),f1 ori,,not applicable,bacterial,narrow (F+ enterobacteria),filamentous phage (+)-strand origin; yields ssDNA on helper-phage rescue rather than setting plasmid copy number,
snapgene,M13_ori;M13_ori_(2);M13_ori_(3);M13_ori_(4),M13 ori,,not applicable,bacterial,narrow (F+ enterobacteria),filamentous phage (+)-strand origin; yields ssDNA on helper-phage rescue rather than setting plasmid copy number,
snapgene,SV40_ori,SV40 ori,5000-10000 (COS cells),high,eukaryotic,narrow (primate cells expressing large T antigen),replicates only in cells expressing SV40 large T antigen (e.g. COS cells),PMID 1701243
snapgene,oriP,oriP,~50,medium,eukaryotic,narrow (mammalian cells expressing EBNA-1),requires Epstein-Barr virus EBNA-1; maintained episomally in mammalian cells,PMID 2482230
snapgene,mini_oriP,mini-oriP,~50,medium,eukaryotic,narrow (mammalian cells expressing EBNA-1),truncated EBV oriP; requires EBNA-1,PMID 2482230
snapgene,2u_ori;2u_ori_(2);2u_ori_(3);2u_ori_(4);2u_ori_(5),2μ ori,40-60 per haploid cell,high,eukaryotic,narrow (S. cerevisiae),S. cerevisiae 2μ plasmid origin; requires REP1/REP2/FLP in trans or a cir+ host,PMID 23541845
snapgene,ARS1;ARS1_(2),ARS1,1-2 with a CEN,low,eukaryotic,narrow (S. cerevisiae),S. cerevisiae ARS1/ARS416; multi-copy but mitotically unstable without a centromere,
snapgene,ars1_(3),ars1,1-2 with a CEN,low,eukaryotic,narrow (S. pombe),S. pombe ars1; multi-copy but mitotically unstable without a centromere,
snapgene,AMA1;AMA1_(2),AMA1,,unreported,eukaryotic,narrow (Aspergillus and related fungi),Aspergillus nidulans autonomously replicating sequence,
