db,sseqid,name,marker_class,selection_agent,domain,host_range,reference
snapgene,AmpR;AmpR_(2);AmpR_(3);AmpR_(4),AmpR,antibiotic resistance,"ampicillin, carbenicillin",bacterial,broad (Gram-negative bacteria),PMID 358200
snapgene,ApmR,ApmR,antibiotic resistance,apramycin,bacterial,broad (bacteria),
snapgene,CmR;CmR_(2);CmR_(3),CmR,antibiotic resistance,chloramphenicol,bacterial,broad (bacteria),PMID 6340955
snapgene,GmR,GmR,antibiotic resistance,gentamicin,bacterial,broad (bacteria),PMID 2549372
snapgene,KanR;KanR_(2);KanR_(3);KanR_(4);KanR_(5);KanR_(6),KanR,antibiotic resistance,"kanamycin (bacteria), G418 (eukaryotes)",both,broad (bacteria and eukaryotes),PMID 6270337
snapgene,NeoR___KanR;NeoR___KanR_(2);NeoR___KanR_(3);NeoR___KanR_(4);NeoR___KanR_(5);NeoR___KanR_(6),NeoR/KanR,antibiotic resistance,"neomycin, kanamycin, G418",both,"broad (bacteria, mammalian, plant)",PMID 6295884
snapgene,SmR,SmR,antibiotic resistance,"spectinomycin, streptomycin",bacterial,broad (bacteria),PMID 2993813
snapgene,TcR;TcR_(2);TcR_(3);TcR_(4),TcR,antibiotic resistance,tetracycline,bacterial,broad (bacteria),PMID 7826010
snapgene,TpR,TpR,antibiotic resistance,trimethoprim,bacterial,broad (bacteria),
snapgene,HygR;HygR_(2);HygR_(3);HygR_(4);HygR_(5),HygR,antibiotic resistance,hygromycin B,both,"broad (bacteria, fungi, mammalian, plant)",PMID 6319235
snapgene,BleoR,BleoR,antibiotic resistance,"bleomycin, phleomycin, Zeocin",both,"broad (bacteria, yeast, mammalian, plant)",PMID 1695734
snapgene,PuroR;PuroR_(2);PuroR_(3),PuroR,antibiotic resistance,puromycin,eukaryotic,broad (mammalian and other eukaryotes),PMID 3714487
snapgene,BSD,BSD,antibiotic resistance,blasticidin S,eukaryotic,broad (fungi and mammalian),PMID 8159161
snapgene,NrsR,NrsR,antibiotic resistance,nourseothricin,eukaryotic,broad (yeast and fungi),
snapgene,AurR,AurR,antibiotic resistance,aureobasidin A,eukaryotic,narrow (yeast),PMID 8668135
snapgene,aur1_R,aur1-R,antibiotic resistance,aureobasidin A,eukaryotic,narrow (S. pombe),PMID 9472078
snapgene,aurA_R,aurA-R,antibiotic resistance,aureobasidin A,eukaryotic,narrow (Aspergillus),PMID 10102364
snapgene,kanMX,kanMX,antibiotic resistance,"G418 (Geneticin), kanamycin",eukaryotic,broad (yeast and fungi),PMID 7747518
snapgene,hphMX6,hphMX6,antibiotic resistance,hygromycin B,eukaryotic,broad (yeast and fungi),PMID 10514571
snapgene,natMX6,natMX6,antibiotic resistance,nourseothricin,eukaryotic,broad (yeast and fungi),PMID 10514571
snapgene,bleMX6,bleMX6,antibiotic resistance,"phleomycin, Zeocin",eukaryotic,broad (yeast and fungi),PMID 10514571
snapgene,DHFR,DHFR,drug resistance,methotrexate,eukaryotic,narrow (mammalian),
snapgene,ptrA;ptrA_(2),ptrA,drug resistance,pyrithiamine,eukaryotic,narrow (Aspergillus and related fungi),PMID 10945258
snapgene,BlpR;BlpR_(2),BlpR,herbicide resistance,"bialaphos, phosphinothricin",eukaryotic,broad (plants and fungi),PMID 16453790
snapgene,patMX4,patMX4,herbicide resistance,bialaphos,eukaryotic,broad (yeast and fungi),PMID 10514571
snapgene,URA3,URA3,auxotrophic,uracil dropout; counter-selectable with 5-FOA,eukaryotic,narrow (yeast),PMID 6394957
snapgene,LEU2,LEU2,auxotrophic,leucine dropout,eukaryotic,narrow (S. cerevisiae),
snapgene,HIS3;HIS3_(2),HIS3,auxotrophic,histidine dropout,eukaryotic,narrow (S. cerevisiae),
snapgene,HIS3MX6,HIS3MX6,auxotrophic,histidine dropout,eukaryotic,narrow (S. cerevisiae),PMID 9290211
snapgene,S._pombe_his5,S. pombe his5,auxotrophic,histidine dropout,eukaryotic,narrow (yeast),PMID 9290211
snapgene,TRP1,TRP1,auxotrophic,tryptophan dropout,eukaryotic,narrow (S. cerevisiae),
snapgene,LYS2,LYS2,auxotrophic,lysine dropout; counter-selectable with alpha-aminoadipate,eukaryotic,narrow (S. cerevisiae),
