sseqid,Feature,Description
Q09585.2,sp|Q09585.2|APTF1_CAEEL RecName: Full=Transcription factor aptf-1; AltName: Full=AP2 transcription factor aptf-1,sp|Q09585.2|APTF1_CAEEL RecName: Full=Transcription factor aptf-1; AltName: Full=AP2 transcription factor aptf-1
NP_001258098.1,NP_001258098.1 extended synaptotagmin-2 [Rattus norvegicus],NP_001258098.1 extended synaptotagmin-2 [Rattus norvegicus]
NP_083007.2,NP_083007.2 extended synaptotagmin-2 [Mus musculus],NP_083007.2 extended synaptotagmin-2 [Mus musculus]
UZU83955.1,"UZU83955.1 potassium selective channel rhodopsin, partial [synthetic construct]","UZU83955.1 potassium selective channel rhodopsin, partial [synthetic construct]"
UZU83954.1,"UZU83954.1 potassium selective channel rhodopsin, partial [synthetic construct]","UZU83954.1 potassium selective channel rhodopsin, partial [synthetic construct]"
7SHS,"pdb|7SHS|C Chain C, ChRmine","pdb|7SHS|C Chain C, ChRmine"
7SFK,"pdb|7SFK|C Chain C, ChRmine","pdb|7SFK|C Chain C, ChRmine"
7SFJ,"pdb|7SFJ|C Chain C, ChRmine","pdb|7SFJ|C Chain C, ChRmine"
7W9W,"pdb|7W9W|A Chain A, ChRmine","pdb|7W9W|A Chain A, ChRmine"
QXN54411.1,"QXN54411.1 channelrhodopsin del-SmChR2, partial [synthetic construct]","QXN54411.1 channelrhodopsin del-SmChR2, partial [synthetic construct]"
QXN54410.1,"QXN54410.1 channelrhodopsin del-SmChR1, partial [synthetic construct]","QXN54410.1 channelrhodopsin del-SmChR1, partial [synthetic construct]"
QXN54409.1,"QXN54409.1 channelrhodopsin mgdChR5, partial [synthetic construct]","QXN54409.1 channelrhodopsin mgdChR5, partial [synthetic construct]"
QXN54408.1,"QXN54408.1 channelrhodopsin mgdChR4, partial [synthetic construct]","QXN54408.1 channelrhodopsin mgdChR4, partial [synthetic construct]"
QXN54407.1,"QXN54407.1 channelrhodopsin mgdChR3, partial [synthetic construct]","QXN54407.1 channelrhodopsin mgdChR3, partial [synthetic construct]"
QXN54406.1,"QXN54406.1 channelrhodopsin mgdChR2, partial [synthetic construct]","QXN54406.1 channelrhodopsin mgdChR2, partial [synthetic construct]"
QXN54405.1,"QXN54405.1 channelrhodopsin mgdChR1, partial [synthetic construct]","QXN54405.1 channelrhodopsin mgdChR1, partial [synthetic construct]"
QXN54404.1,"QXN54404.1 channelrhodopsin R8ACR5, partial [synthetic construct]","QXN54404.1 channelrhodopsin R8ACR5, partial [synthetic construct]"
QXN54403.1,"QXN54403.1 channelrhodopsin R8ACR4, partial [synthetic construct]","QXN54403.1 channelrhodopsin R8ACR4, partial [synthetic construct]"
QXN54402.1,"QXN54402.1 channelrhodopsin R8ACR3, partial [synthetic construct]","QXN54402.1 channelrhodopsin R8ACR3, partial [synthetic construct]"
QXN54401.1,"QXN54401.1 channelrhodopsin R8ACR2, partial [synthetic construct]","QXN54401.1 channelrhodopsin R8ACR2, partial [synthetic construct]"
QXN54400.1,"QXN54400.1 channelrhodopsin R8ACR1, partial [synthetic construct]","QXN54400.1 channelrhodopsin R8ACR1, partial [synthetic construct]"
QXN54399.1,"QXN54399.1 channelrhodopsin R7ACR3, partial [synthetic construct]","QXN54399.1 channelrhodopsin R7ACR3, partial [synthetic construct]"
QXN54398.1,"QXN54398.1 channelrhodopsin R7ACR2, partial [synthetic construct]","QXN54398.1 channelrhodopsin R7ACR2, partial [synthetic construct]"
QXN54397.1,"QXN54397.1 channelrhodopsin R7ACR1, partial [synthetic construct]","QXN54397.1 channelrhodopsin R7ACR1, partial [synthetic construct]"
