parent_db,parent_sseqid,parent_name,parent_type,parent_length,nested_db,nested_sseqid,nested_name,nested_type,nested_strand,nested_start,nested_end,nested_length,nested_subject_length,nested_subject_start,nested_subject_end,percent_identity,percent_match,evalue,fragment
fpbase,gcamp2,GCaMP2,CDS,1356,fpbase,cegfp,cEGFP,CDS,1,171,906,735,735,1,735,100.0,100.0,3.63e-227,False
fpbase,gcamp2,GCaMP2,CDS,1356,swissprot,P62146,CALMA_ARBPU,CDS,1,912,1263,351,426,7,357,87.2,82.3943661971831,3.8100000000000003e-72,True
fpbase,stayrose,StayRose,CDS,654,fpbase,staygold,StayGold,CDS,1,0,651,651,651,1,651,99.5,100.0,2.51e-213,False
fpbase,wiphy2,WiPhy2,CDS,1032,fpbase,wi-phy,Wi-Phy,CDS,1,0,1005,1005,1005,1,1005,99.7,100.0,2.29e-314,False
snapgene,2xFLAG,2xFLAG,CDS,48,snapgene,cat1_intron,cat1 intron,intron,1,9,23,14,190,171,184,100.0,7.368421052631575,0.1,True
snapgene,2xFLAG,2xFLAG,CDS,48,snapgene,cat1_intron,cat1 intron,intron,1,33,47,14,190,171,184,100.0,7.368421052631575,0.1,True
snapgene,2u_ori,2μ ori,rep_origin,881,swissprot,P03871,REP1,CDS,-1,81,132,51,1119,1069,1119,94.1,4.557640750670245,0.00062,True
snapgene,2u_ori_(2),2μ ori,rep_origin,983,snapgene,FRT_(minimal),FRT (minimal),protein_bind,1,0,20,20,34,15,34,100.0,58.82352941176471,0.000736,True
snapgene,2u_ori_(2),2μ ori,rep_origin,983,swissprot,P03871,REP1,CDS,-1,186,237,51,1119,1069,1119,94.1,4.557640750670245,0.000722,True
snapgene,2u_ori_(3),2μ ori,rep_origin,1343,snapgene,FLP,FLP,CDS,1,0,180,180,1272,1093,1272,100.0,14.15094339622641,3.35e-99,True
snapgene,2u_ori_(3),2μ ori,rep_origin,1343,snapgene,FRT,FRT,protein_bind,1,332,380,48,48,1,48,100.0,100.0,1.97e-20,False
snapgene,2u_ori_(4),2μ ori,rep_origin,1165,snapgene,FRT_(mutant),FRT (mutant),protein_bind,1,150,180,30,48,1,30,100.0,62.5,9.42e-10,True
snapgene,2u_ori_(4),2μ ori,rep_origin,1165,swissprot,P03871,REP1,CDS,-1,368,419,51,1119,1069,1119,94.1,4.557640750670245,0.000903,True
snapgene,2u_ori_(5),2μ ori,rep_origin,1347,snapgene,FLP,FLP,CDS,1,0,180,180,1272,1093,1272,100.0,14.15094339622641,3.36e-99,True
snapgene,2u_ori_(5),2μ ori,rep_origin,1347,snapgene,FRT_(mutant),FRT (mutant),protein_bind,1,332,362,30,48,1,30,100.0,62.5,1.09e-09,True
