parent_db,parent_sseqid,child_db,child_sseqid,status,action,rationale,source
snapgene,ori;p15A_ori;ColA_ori;CloDF13_ori;RSF_ori,Rfam,RF00106,good,keep,"RNAI is a functional antisense regulator encoded within this ColE1-family replicon.",curated_pair:origin_rnai
snapgene,HIV_1_Psi,Rfam,RF00175;RF01380;RF01381,good,keep,"This covariance-model feature is a documented structural component of the retroviral packaging region.",curated_pair:packaging_rna
snapgene,MESV_Psi,Rfam,RF00374,good,keep,"This covariance-model feature is a documented structural component of the retroviral packaging region.",curated_pair:packaging_rna
snapgene,MMLV_Psi;MMLV_Psi_(2),Rfam,RF00374,good,keep,"This covariance-model feature is a documented structural component of the retroviral packaging region.",curated_pair:packaging_rna
snapgene,MMLV_Psi,swissprot,P0DOG8,good,replace_child,"This packaging region genuinely overlaps gag, but P0DOG8 is the wrong MLV strain; the same interval has a 98.6% identity Moloney MLV hit to Q8UN02.",curated_pair:mmlv_gag_rerank
snapgene,MESV_Psi,swissprot,P0DOG8,good,relabel_child,"This is a gammaretroviral gag-derived interval, but the 62.5% AKV P0DOG8 accession overstates source specificity; use generic curated provenance until an exact MESV protein reference is available.",curated_pair:mesv_gag_provenance
snapgene,CaMV_35S_promoter;CaMV_35S_promoter_(2);CaMV_35S_promoter_(enhanced),swissprot,P16666,good,replace_child,"The CaMV promoter genuinely overlaps the end of ORF VI, but the selected Bari1 accession is a ranking error; Strasbourg P03559 matches the source interval at 100% identity.",curated_pair:camv_orf6_rerank
snapgene,CMV_promoter;CMV_promoter_(2);CMV_promoter_(3),swissprot,P16836,good,relabel_child,"The sequence maps into the HCMV UL126/ORF94 locus. Preserve it as CDS-derived provenance rather than asserting that this partial, predicted ORF is a functional CDS in the construct.",curated_pair:hcmv_ul126_overlap
snapgene,HSV_TK_5'_UTR;HSV_TK_promoter;HSV_TK_promoter_(2),swissprot,P10208,good,keep,"HSV UL23/TK and UL24 overlap in the source genome; this is genuine UL24-derived sequence, not a translated false positive.",curated_pair:hsv_tk_ul24_overlap
snapgene,IE0_promoter,swissprot,Q04719,good,keep,"The promoter record exactly overlaps the end of the adjacent AcMNPV ME53 CDS in the source genome.",curated_pair:acmnpv_ie0_me53_overlap
snapgene,IE0_promoter,swissprot,P41699,good,keep,"The complete predicted AcMNPV ORF140 lies inside the installed IE0 promoter interval in the source genome.",curated_pair:acmnpv_ie0_orf140
snapgene,IE1_promoter,swissprot,P41704,good,keep,"The promoter record exactly overlaps 177 of 201 amino acids of the adjacent predicted AcMNPV ORF146.",curated_pair:acmnpv_ie1_orf146
snapgene,OpIE_1_promoter,swissprot,O10375,good,keep,"The promoter record exactly overlaps the source-genome OpMNPV ORF144 interval.",curated_pair:opmnpv_ie1_orf144
snapgene,OpIE_2_promoter,swissprot,P41708,bad,suppress_child,"The AC152 hit uses a different translated frame from the actual OpMNPV ORF150 and extends beyond that ORF; it is remote homology, not the embedded source CDS.",curated_pair:opie2_ac152_wrong_frame
fpbase,gcamp2,swissprot,P62146,good,relabel_child,"Calmodulin is a genuine protein component of the GCaMP2 fusion. Preserve the alignment as component provenance without presenting it as a separate full-length calmodulin CDS.",curated_pair:gcamp2_calmodulin_component
fpbase,stayrose,fpbase,staygold,bad,replace_parent,"StayRose is a broken FPbase parent record that collapses onto StayGold; repair or remove the parent instead of treating this as valid nesting.",curated_pair:broken_stayrose
fpbase,wiphy2,fpbase,wi-phy,bad,replace_parent,"WiPhy2 is a broken FPbase parent record that collapses onto Wi-Phy; repair or remove the parent instead of treating this as valid nesting.",curated_pair:broken_wiphy2
snapgene,T5_promoter,snapgene,lac_operator_(2),good,replace_parent,"The lac operator is an exact, documented component of this hybrid T5-lac promoter; keep lacO and rename or retype the composite parent.",curated_pair:t5_laco
